DATE,TIME,(kW)
1/1/2024,0:00,747
1/1/2024,1:00,752
1/1/2024,2:00,766
1/1/2024,3:00,786
1/1/2024,4:00,799
1/1/2024,5:00,797
1/1/2024,6:00,780
1/1/2024,7:00,766
1/1/2024,8:00,771
1/1/2024,9:00,762
1/1/2024,10:00,745
1/1/2024,11:00,731
1/1/2024,12:00,717
1/1/2024,13:00,700
1/1/2024,14:00,702
1/1/2024,15:00,725
1/1/2024,16:00,778
1/1/2024,17:00,844
1/1/2024,18:00,845
1/1/2024,19:00,843
1/1/2024,20:00,837
1/1/2024,21:00,821
1/1/2024,22:00,790
1/1/2024,23:00,796
1/2/2024,0:00,775
1/2/2024,1:00,788
1/2/2024,2:00,812
1/2/2024,3:00,829
1/2/2024,4:00,840
1/2/2024,5:00,845
1/2/2024,6:00,846
1/2/2024,7:00,853
1/2/2024,8:00,872
1/2/2024,9:00,858
1/2/2024,10:00,816
1/2/2024,11:00,788
1/2/2024,12:00,769
1/2/2024,13:00,756
1/2/2024,14:00,746
1/2/2024,15:00,755
1/2/2024,16:00,822
1/2/2024,17:00,872
1/2/2024,18:00,874
1/2/2024,19:00,871
1/2/2024,20:00,858
1/2/2024,21:00,828
1/2/2024,22:00,789
1/2/2024,23:00,781
1/3/2024,0:00,747
1/3/2024,1:00,755
1/3/2024,2:00,776
1/3/2024,3:00,792
1/3/2024,4:00,803
1/3/2024,5:00,798
1/3/2024,6:00,789
1/3/2024,7:00,795
1/3/2024,8:00,827
1/3/2024,9:00,838
1/3/2024,10:00,809
1/3/2024,11:00,789
1/3/2024,12:00,784
1/3/2024,13:00,774
1/3/2024,14:00,767
1/3/2024,15:00,782
1/3/2024,16:00,838
1/3/2024,17:00,883
1/3/2024,18:00,880
1/3/2024,19:00,865
1/3/2024,20:00,846
1/3/2024,21:00,814
1/3/2024,22:00,766
1/3/2024,23:00,753
1/4/2024,0:00,724
1/4/2024,1:00,740
1/4/2024,2:00,766
1/4/2024,3:00,789
1/4/2024,4:00,809
1/4/2024,5:00,824
1/4/2024,6:00,846
1/4/2024,7:00,872
1/4/2024,8:00,930
1/4/2024,9:00,929
1/4/2024,10:00,902
1/4/2024,11:00,880
1/4/2024,12:00,850
1/4/2024,13:00,843
1/4/2024,14:00,836
1/4/2024,15:00,846
1/4/2024,16:00,919
1/4/2024,17:00,967
1/4/2024,18:00,968
1/4/2024,19:00,952
1/4/2024,20:00,927
1/4/2024,21:00,884
1/4/2024,22:00,830
1/4/2024,23:00,819
1/5/2024,0:00,798
1/5/2024,1:00,815
1/5/2024,2:00,841
1/5/2024,3:00,862
1/5/2024,4:00,882
1/5/2024,5:00,920
1/5/2024,6:00,966
1/5/2024,7:00,994
1/5/2024,8:00,1058
1/5/2024,9:00,1056
1/5/2024,10:00,1006
1/5/2024,11:00,976
1/5/2024,12:00,928
1/5/2024,13:00,940
1/5/2024,14:00,937
1/5/2024,15:00,946
1/5/2024,16:00,1004
1/5/2024,17:00,1009
1/5/2024,18:00,991
1/5/2024,19:00,955
1/5/2024,20:00,915
1/5/2024,21:00,869
1/5/2024,22:00,824
1/5/2024,23:00,801
1/6/2024,0:00,766
1/6/2024,1:00,777
1/6/2024,2:00,801
1/6/2024,3:00,824
1/6/2024,4:00,838
1/6/2024,5:00,851
1/6/2024,6:00,850
1/6/2024,7:00,866
1/6/2024,8:00,930
1/6/2024,9:00,954
1/6/2024,10:00,938
1/6/2024,11:00,941
1/6/2024,12:00,916
1/6/2024,13:00,910
1/6/2024,14:00,911
1/6/2024,15:00,915
1/6/2024,16:00,962
1/6/2024,17:00,976
1/6/2024,18:00,965
1/6/2024,19:00,942
1/6/2024,20:00,912
1/6/2024,21:00,875
1/6/2024,22:00,832
1/6/2024,23:00,821
1/7/2024,0:00,802
1/7/2024,1:00,818
1/7/2024,2:00,849
1/7/2024,3:00,869
1/7/2024,4:00,886
1/7/2024,5:00,903
1/7/2024,6:00,895
1/7/2024,7:00,894
1/7/2024,8:00,913
1/7/2024,9:00,932
1/7/2024,10:00,902
1/7/2024,11:00,893
1/7/2024,12:00,886
1/7/2024,13:00,871
1/7/2024,14:00,866
1/7/2024,15:00,908
1/7/2024,16:00,975
1/7/2024,17:00,1059
1/7/2024,18:00,1076
1/7/2024,19:00,1057
1/7/2024,20:00,1032
1/7/2024,21:00,983
1/7/2024,22:00,940
1/7/2024,23:00,946
1/8/2024,0:00,926
1/8/2024,1:00,941
1/8/2024,2:00,954
1/8/2024,3:00,965
1/8/2024,4:00,984
1/8/2024,5:00,1009
1/8/2024,6:00,1033
1/8/2024,7:00,1047
1/8/2024,8:00,1090
1/8/2024,9:00,1120
1/8/2024,10:00,1096
1/8/2024,11:00,1078
1/8/2024,12:00,1043
1/8/2024,13:00,1041
1/8/2024,14:00,1032
1/8/2024,15:00,1071
1/8/2024,16:00,1127
1/8/2024,17:00,1184
1/8/2024,18:00,1188
1/8/2024,19:00,1156
1/8/2024,20:00,1117
1/8/2024,21:00,1068
1/8/2024,22:00,990
1/8/2024,23:00,963
1/9/2024,0:00,934
1/9/2024,1:00,947
1/9/2024,2:00,968
1/9/2024,3:00,989
1/9/2024,4:00,1013
1/9/2024,5:00,1060
1/9/2024,6:00,1127
1/9/2024,7:00,1152
1/9/2024,8:00,1218
1/9/2024,9:00,1227
1/9/2024,10:00,1175
1/9/2024,11:00,1149
1/9/2024,12:00,1090
1/9/2024,13:00,1123
1/9/2024,14:00,1133
1/9/2024,15:00,1143
1/9/2024,16:00,1180
1/9/2024,17:00,1173
1/9/2024,18:00,1160
1/9/2024,19:00,1112
1/9/2024,20:00,1075
1/9/2024,21:00,1024
1/9/2024,22:00,960
1/9/2024,23:00,935
1/10/2024,0:00,909
1/10/2024,1:00,920
1/10/2024,2:00,951
1/10/2024,3:00,976
1/10/2024,4:00,998
1/10/2024,5:00,1036
1/10/2024,6:00,1094
1/10/2024,7:00,1128
1/10/2024,8:00,1213
1/10/2024,9:00,1226
1/10/2024,10:00,1213
1/10/2024,11:00,1193
1/10/2024,12:00,1135
1/10/2024,13:00,1163
1/10/2024,14:00,1165
1/10/2024,15:00,1184
1/10/2024,16:00,1241
1/10/2024,17:00,1249
1/10/2024,18:00,1233
1/10/2024,19:00,1190
1/10/2024,20:00,1151
1/10/2024,21:00,1101
1/10/2024,22:00,1031
1/10/2024,23:00,1011
1/11/2024,0:00,987
1/11/2024,1:00,998
1/11/2024,2:00,1021
1/11/2024,3:00,1032
1/11/2024,4:00,1057
1/11/2024,5:00,1101
1/11/2024,6:00,1172
1/11/2024,7:00,1201
1/11/2024,8:00,1267
1/11/2024,9:00,1288
