DATE,TIME,(kW)
1/1/2024,0:00,229
1/1/2024,1:00,229
1/1/2024,2:00,244
1/1/2024,3:00,259
1/1/2024,4:00,264
1/1/2024,5:00,255
1/1/2024,6:00,231
1/1/2024,7:00,229
1/1/2024,8:00,246
1/1/2024,9:00,232
1/1/2024,10:00,224
1/1/2024,11:00,220
1/1/2024,12:00,218
1/1/2024,13:00,211
1/1/2024,14:00,205
1/1/2024,15:00,209
1/1/2024,16:00,223
1/1/2024,17:00,253
1/1/2024,18:00,263
1/1/2024,19:00,262
1/1/2024,20:00,263
1/1/2024,21:00,255
1/1/2024,22:00,242
1/1/2024,23:00,238
1/2/2024,0:00,232
1/2/2024,1:00,238
1/2/2024,2:00,258
1/2/2024,3:00,274
1/2/2024,4:00,277
1/2/2024,5:00,270
1/2/2024,6:00,253
1/2/2024,7:00,256
1/2/2024,8:00,275
1/2/2024,9:00,261
1/2/2024,10:00,239
1/2/2024,11:00,228
1/2/2024,12:00,223
1/2/2024,13:00,214
1/2/2024,14:00,207
1/2/2024,15:00,213
1/2/2024,16:00,228
1/2/2024,17:00,257
1/2/2024,18:00,270
1/2/2024,19:00,271
1/2/2024,20:00,269
1/2/2024,21:00,262
1/2/2024,22:00,248
1/2/2024,23:00,245
1/3/2024,0:00,240
1/3/2024,1:00,244
1/3/2024,2:00,260
1/3/2024,3:00,273
1/3/2024,4:00,274
1/3/2024,5:00,264
1/3/2024,6:00,248
1/3/2024,7:00,248
1/3/2024,8:00,272
1/3/2024,9:00,280
1/3/2024,10:00,277
1/3/2024,11:00,267
1/3/2024,12:00,261
1/3/2024,13:00,258
1/3/2024,14:00,258
1/3/2024,15:00,259
1/3/2024,16:00,267
1/3/2024,17:00,284
1/3/2024,18:00,289
1/3/2024,19:00,283
1/3/2024,20:00,276
1/3/2024,21:00,264
1/3/2024,22:00,246
1/3/2024,23:00,239
1/4/2024,0:00,229
1/4/2024,1:00,234
1/4/2024,2:00,251
1/4/2024,3:00,269
1/4/2024,4:00,277
1/4/2024,5:00,277
1/4/2024,6:00,275
1/4/2024,7:00,287
1/4/2024,8:00,315
1/4/2024,9:00,307
1/4/2024,10:00,291
1/4/2024,11:00,285
1/4/2024,12:00,283
1/4/2024,13:00,276
1/4/2024,14:00,268
1/4/2024,15:00,271
1/4/2024,16:00,280
1/4/2024,17:00,301
1/4/2024,18:00,313
1/4/2024,19:00,309
1/4/2024,20:00,303
1/4/2024,21:00,288
1/4/2024,22:00,267
1/4/2024,23:00,258
1/5/2024,0:00,252
1/5/2024,1:00,258
1/5/2024,2:00,277
1/5/2024,3:00,291
1/5/2024,4:00,296
1/5/2024,5:00,300
1/5/2024,6:00,310
1/5/2024,7:00,330
1/5/2024,8:00,364
1/5/2024,9:00,355
1/5/2024,10:00,337
1/5/2024,11:00,324
1/5/2024,12:00,302
1/5/2024,13:00,303
1/5/2024,14:00,298
1/5/2024,15:00,301
1/5/2024,16:00,312
1/5/2024,17:00,323
1/5/2024,18:00,332
1/5/2024,19:00,325
1/5/2024,20:00,316
1/5/2024,21:00,300
1/5/2024,22:00,279
1/5/2024,23:00,273
1/6/2024,0:00,262
1/6/2024,1:00,264
1/6/2024,2:00,280
1/6/2024,3:00,294
1/6/2024,4:00,297
1/6/2024,5:00,292
1/6/2024,6:00,285
1/6/2024,7:00,295
1/6/2024,8:00,333
1/6/2024,9:00,334
1/6/2024,10:00,323
1/6/2024,11:00,319
1/6/2024,12:00,304
1/6/2024,13:00,304
1/6/2024,14:00,302
1/6/2024,15:00,301
1/6/2024,16:00,303
1/6/2024,17:00,314
1/6/2024,18:00,319
1/6/2024,19:00,311
1/6/2024,20:00,303
1/6/2024,21:00,286
1/6/2024,22:00,268
1/6/2024,23:00,261
1/7/2024,0:00,253
1/7/2024,1:00,258
1/7/2024,2:00,277
1/7/2024,3:00,295
1/7/2024,4:00,300
1/7/2024,5:00,293
1/7/2024,6:00,277
1/7/2024,7:00,279
1/7/2024,8:00,302
1/7/2024,9:00,302
1/7/2024,10:00,294
1/7/2024,11:00,291
1/7/2024,12:00,287
1/7/2024,13:00,286
1/7/2024,14:00,282
1/7/2024,15:00,282
1/7/2024,16:00,294
1/7/2024,17:00,323
1/7/2024,18:00,337
1/7/2024,19:00,333
1/7/2024,20:00,326
1/7/2024,21:00,312
1/7/2024,22:00,291
1/7/2024,23:00,283
1/8/2024,0:00,276
1/8/2024,1:00,281
1/8/2024,2:00,298
1/8/2024,3:00,310
1/8/2024,4:00,311
1/8/2024,5:00,303
1/8/2024,6:00,301
1/8/2024,7:00,318
1/8/2024,8:00,347
1/8/2024,9:00,340
1/8/2024,10:00,328
1/8/2024,11:00,323
1/8/2024,12:00,311
1/8/2024,13:00,301
1/8/2024,14:00,288
1/8/2024,15:00,293
1/8/2024,16:00,314
1/8/2024,17:00,345
1/8/2024,18:00,364
1/8/2024,19:00,360
1/8/2024,20:00,355
1/8/2024,21:00,336
1/8/2024,22:00,310
1/8/2024,23:00,302
1/9/2024,0:00,298
1/9/2024,1:00,305
1/9/2024,2:00,321
1/9/2024,3:00,331
1/9/2024,4:00,333
1/9/2024,5:00,336
1/9/2024,6:00,360
1/9/2024,7:00,386
1/9/2024,8:00,422
1/9/2024,9:00,405
1/9/2024,10:00,379
1/9/2024,11:00,367
1/9/2024,12:00,345
1/9/2024,13:00,352
1/9/2024,14:00,347
1/9/2024,15:00,350
1/9/2024,16:00,359
1/9/2024,17:00,371
